Date,Close
2017-10-03,292.48
2017-10-04,291.99
2017-10-05,294.81
2017-10-06,310.8
2017-10-07,311.01
2017-10-08,311.07
2017-10-09,297.19
2017-10-10,298.64
2017-10-11,304.01
2017-10-12,303.99
2017-10-13,337.96
2017-10-14,342.0
2017-10-15,337.96
2017-10-16,335.19
2017-10-17,315.19
2017-10-18,309.7
2017-10-19,308.66
2017-10-20,304.51
2017-10-21,298.94
2017-10-22,293.79
2017-10-23,281.09
2017-10-24,297.38
2017-10-25,294.49
2017-10-26,294.71
2017-10-27,296.33
2017-10-28,291.87
2017-10-29,305.0
2017-10-30,307.25
2017-10-31,304.9
2017-11-01,287.01
2017-11-02,283.12
2017-11-03,304.08
2017-11-04,298.04
2017-11-05,295.53
2017-11-06,297.97
2017-11-07,291.78
2017-11-08,303.02
2017-11-09,317.87
2017-11-10,293.5
2017-11-11,310.02
2017-11-12,305.24
2017-11-13,312.99
2017-11-14,335.61
2017-11-15,331.33
2017-11-16,331.49
2017-11-17,331.23
2017-11-18,346.66
2017-11-19,354.15
2017-11-20,367.42
2017-11-21,362.12
2017-11-22,380.65
2017-11-23,405.0
2017-11-24,469.0
2017-11-25,461.82
2017-11-26,462.84
2017-11-27,472.31
2017-11-28,466.17
2017-11-29,421.7
2017-11-30,427.43
2017-12-01,457.51
2017-12-02,457.63
2017-12-03,460.3
2017-12-04,466.67
2017-12-05,452.26
2017-12-06,411.01
2017-12-07,406.33
2017-12-08,442.56
2017-12-09,460.0
2017-12-10,427.35
2017-12-11,508.7
2017-12-12,620.0
2017-12-13,683.99
2017-12-14,679.76
2017-12-15,674.95
2017-12-16,682.81
2017-12-17,707.64
2017-12-18,784.0
2017-12-19,798.0
2017-12-20,790.21
2017-12-21,782.41
2017-12-22,635.97
2017-12-23,640.34
2017-12-24,658.0
2017-12-25,714.95
2017-12-26,750.0
2017-12-27,739.89
2017-12-28,707.89
2017-12-29,733.99
2017-12-30,681.06
2017-12-31,733.98
2018-01-01,754.99
2018-01-02,855.28
2018-01-03,934.03
2018-01-04,940.0
2018-01-05,959.3
2018-01-06,1004.11
2018-01-07,1123.09
2018-01-08,1133.18
2018-01-09,1291.0
2018-01-10,1247.0
2018-01-11,1138.93
2018-01-12,1253.87
2018-01-13,1388.02
2018-01-14,1347.0
2018-01-15,1271.0
2018-01-16,1000.0
2018-01-17,1000.0
2018-01-18,994.0
2018-01-19,1032.5
2018-01-20,1152.75
2018-01-21,1049.0
2018-01-22,993.0
2018-01-23,980.0
2018-01-24,1061.0
2018-01-25,1056.52
2018-01-26,1051.03
2018-01-27,1118.99
2018-01-28,1251.96
2018-01-29,1177.01
2018-01-30,1085.5
2018-01-31,1124.81
2018-02-01,1041.94
2018-02-02,922.3
2018-02-03,971.0
2018-02-04,823.56
2018-02-05,697.92
2018-02-06,779.25
2018-02-07,754.0
2018-02-08,781.66
2018-02-09,877.0
2018-02-10,851.15
2018-02-11,808.99
2018-02-12,866.66
2018-02-13,841.57
2018-02-14,919.09
2018-02-15,924.55
2018-02-16,938.67
2018-02-17,969.99
2018-02-18,911.0
2018-02-19,938.11
2018-02-20,882.99
2018-02-21,835.89
2018-02-22,801.49
2018-02-23,851.6
2018-02-24,833.94
2018-02-25,841.19
2018-02-26,867.98
2018-02-27,870.11
2018-02-28,853.5
2018-03-01,870.63
2018-03-02,856.28
2018-03-03,856.02
2018-03-04,866.66
2018-03-05,849.84
2018-03-06,813.11
2018-03-07,749.9
2018-03-08,695.46
2018-03-09,723.71
2018-03-10,680.58
2018-03-11,720.85
2018-03-12,697.11
2018-03-13,689.94
2018-03-14,610.1
2018-03-15,608.83
2018-03-16,599.05
2018-03-17,546.95
2018-03-18,537.0
2018-03-19,556.88
2018-03-20,557.0
2018-03-21,559.17
2018-03-22,539.92
2018-03-23,543.03
2018-03-24,520.22
2018-03-25,523.74
2018-03-26,485.0
2018-03-27,448.5
2018-03-28,446.67
2018-03-29,384.0
2018-03-30,392.43
2018-03-31,393.92
2018-04-01,378.58
2018-04-02,385.05
2018-04-03,415.01
2018-04-04,378.16
2018-04-05,381.22
2018-04-06,368.89
2018-04-07,384.51
2018-04-08,400.4
2018-04-09,399.44
2018-04-10,416.07
2018-04-11,429.52
2018-04-12,495.67
2018-04-13,495.11
2018-04-14,502.68
2018-04-15,533.88
2018-04-16,511.46
2018-04-17,502.56
2018-04-18,526.09
2018-04-19,568.14
2018-04-20,617.09
2018-04-21,604.87
2018-04-22,620.92
2018-04-23,645.09
2018-04-24,701.58
2018-04-25,618.0
2018-04-26,661.51
2018-04-27,643.46
2018-04-28,682.86
2018-04-29,690.85
2018-04-30,670.78
2018-05-01,672.0
2018-05-02,688.56
2018-05-03,779.0
2018-05-04,785.99
2018-05-05,819.5
2018-05-06,794.3
2018-05-07,752.49
2018-05-08,748.99
2018-05-09,751.75
2018-05-10,722.52
2018-05-11,676.96
2018-05-12,684.11
2018-05-13,729.08
2018-05-14,727.49
2018-05-15,704.91
2018-05-16,706.29
2018-05-17,667.62
2018-05-18,692.6
2018-05-19,697.0
2018-05-20,716.16
2018-05-21,696.7
2018-05-22,640.99
2018-05-23,577.19
2018-05-24,602.18
2018-05-25,585.55
2018-05-26,586.0
2018-05-27,570.4
2018-05-28,511.5
2018-05-29,567.36
2018-05-30,557.19
2018-05-31,577.81
2018-06-01,579.0
2018-06-02,590.85
2018-06-03,619.66
2018-06-04,591.02
2018-06-05,609.05
2018-06-06,607.4
2018-06-07,605.16
2018-06-08,598.68
2018-06-09,592.87
2018-06-10,524.11
2018-06-11,531.69
2018-06-12,493.0
2018-06-13,475.47
2018-06-14,519.29
2018-06-15,487.48
2018-06-16,496.74
2018-06-17,497.14
2018-06-18,517.95
2018-06-19,537.97
2018-06-20,536.49
2018-06-21,526.18
2018-06-22,462.09
2018-06-23,473.41
2018-06-24,454.41
2018-06-25,458.7
2018-06-26,429.34
2018-06-27,441.64
2018-06-28,420.22
2018-06-29,434.77
2018-06-30,454.09
2018-07-01,452.1
2018-07-02,476.25
2018-07-03,461.82
2018-07-04,467.38
2018-07-05,467.87
2018-07-06,470.47
2018-07-07,485.57
2018-07-08,486.77
2018-07-09,471.71
2018-07-10,432.48
2018-07-11,444.99
2018-07-12,431.14
2018-07-13,432.46
2018-07-14,433.19
2018-07-15,449.78
2018-07-16,478.49
2018-07-17,498.76
2018-07-18,479.41
2018-07-19,468.57
2018-07-20,449.04
2018-07-21,460.23
2018-07-22,457.47
2018-07-23,450.05
2018-07-24,479.28
2018-07-25,472.1
2018-07-26,462.64
2018-07-27,470.09
2018-07-28,469.29
2018-07-29,466.4
2018-07-30,456.23
2018-07-31,432.22
2018-08-01,420.41
2018-08-02,410.62
2018-08-03,417.52
2018-08-04,407.21
2018-08-05,408.79
2018-08-06,405.28
2018-08-07,378.21
2018-08-08,355.48
2018-08-09,363.3
2018-08-10,331.81
2018-08-11,317.69
2018-08-12,317.89
2018-08-13,283.81
2018-08-14,278.41
2018-08-15,281.12
2018-08-16,287.17
2018-08-17,317.51
2018-08-18,294.11
2018-08-19,299.42
2018-08-20,270.51
2018-08-21,281.21
2018-08-22,270.8
2018-08-23,275.99
2018-08-24,281.19
2018-08-25,277.55
2018-08-26,274.29
2018-08-27,287.71
2018-08-28,295.44
2018-08-29,288.4
2018-08-30,283.89
2018-08-31,281.41
2018-09-01,295.71
2018-09-02,295.41
2018-09-03,289.09
2018-09-04,285.3
2018-09-05,228.53
2018-09-06,229.7
2018-09-07,215.22
2018-09-08,196.71
2018-09-09,195.81
2018-09-10,197.15
2018-09-11,185.18
2018-09-12,183.12
2018-09-13,210.68
2018-09-14,208.82
2018-09-15,221.29
2018-09-16,220.17
2018-09-17,196.16
2018-09-18,208.17
2018-09-19,209.79
2018-09-20,224.0
2018-09-21,247.73
2018-09-22,241.01
2018-09-23,244.5
2018-09-24,228.06
2018-09-25,219.62
2018-09-26,214.42
2018-09-27,229.13
2018-09-28,221.84
2018-09-29,231.62
2018-09-30,232.94
2018-10-01,231.61
2018-10-02,225.69
2018-10-03,220.77
2018-10-04,222.66
2018-10-05,228.37
2018-10-06,225.4
2018-10-07,226.14
2018-10-08,230.01
2018-10-09,228.4
2018-10-10,226.74
2018-10-11,191.58
2018-10-12,196.96
2018-10-13,201.3
2018-10-14,197.01
2018-10-15,214.39
2018-10-16,215.09
2018-10-17,212.85
2018-10-18,206.24
2018-10-19,205.0
2018-10-20,207.91
2018-10-21,207.49
2018-10-22,206.67
2018-10-23,205.85
2018-10-24,205.35
2018-10-25,203.93
2018-10-26,204.92
2018-10-27,204.45
2018-10-28,204.99
2018-10-29,196.96
2018-10-30,197.27
2018-10-31,198.73
